Warning 2026-04-11 23:04:42  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L0291)     Description:Driver mode failed, DriverInstalled[0xffffffff], DriverVersion[0x0]     Solution:
Info    2026-04-11 23:04:42  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L0292)     Description:Socket mode start!     Solution:
Info    2026-04-11 23:04:42  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L1060)     Description:Connecting device, hostIP[0xa9fe535c], hostPort[54803], devIP[0xa9fe6446]     Solution:
Info    2026-04-11 23:04:42  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionMsgChannel.cpp-L0319)     Description:Event thread start     Solution:
Info    2026-04-11 23:04:43  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionGVSP.cpp-L0600)     Description:GVSP GVSPThread Start, ThreadId[0]     Solution:
Info    2026-04-11 23:04:43  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L2563)     Description:GigE StreamInterEventThread Start, ThreadId[0]     Solution:
Info    2026-04-11 23:04:43  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L2741)     Description:GigE StreamInterEvent thread stop     Solution:
Info    2026-04-11 23:04:43  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionGVSP.cpp-L0662)     Description:GVSP recv thread stop     Solution:
Info    2026-04-11 23:04:43  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L2295)     Description:AppGetCount[1], AppGetCountSucceed[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]     Solution:
Info    2026-04-11 23:04:44  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L2295)     Description:AppGetCount[1], AppGetCountSucceed[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]     Solution:
Info    2026-04-11 23:04:44  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L4998)     Description:TransmissionType[0x0], nRet[0x0], GvspSendIp[0xa9fe535c], GvspSendPort[54803], HostIp[0xa9fe535c], HostPort[54803]     Solution:
Info    2026-04-11 23:04:44  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L1136)     Description:Disconnect device     Solution:
Info    2026-04-11 23:04:44  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionManager.cpp-L2295)     Description:AppGetCount[1], AppGetCountSucceed[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]     Solution:
Info    2026-04-11 23:04:44  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionMsgChannel.cpp-L0502)     Description:Event thread stop     Solution:
Info    2026-04-11 23:04:45  DevID:MV-CS200-10GC(DA8205599)  Source-Line:libMVGigEVisionSDK.dylib(GigEVisionGVSP.cpp-L0719)     Description:NearBID[0], LastBID[0], output[0]     Solution:
